Source,Label,Target
Q102173657,Dale E. Varberg,http://www.wikidata.org/entity/Q93433374
Q102173657,Jacob Eliezer Bearman,http://www.wikidata.org/entity/Q102113599
Q102173657,Theodore G. Ostrom,http://www.wikidata.org/entity/Q102123109
Q102173657,"Jerome Lehman Caldwell, Jr.",http://www.wikidata.org/entity/Q102132860
Q102173657,David Lee Skoug,http://www.wikidata.org/entity/Q102142989
Q102173657,Roy Bly Saunders,http://www.wikidata.org/entity/Q102152573
Q102173657,James Kuelbs,http://www.wikidata.org/entity/Q102154090
Q102173657,Stephen E. Spielberg,http://www.wikidata.org/entity/Q102168178
Q102173657,Edward O. Nelson,http://www.wikidata.org/entity/Q102170471
Q102173657,Jean Thurber Sells,http://www.wikidata.org/entity/Q102170472
Q102173657,Margaret Owchar,http://www.wikidata.org/entity/Q102170469
Q102173657,Orvald B. Haugsby,http://www.wikidata.org/entity/Q102170474
Q102173657,Ralph A. Kallman,http://www.wikidata.org/entity/Q102170473
Q102173657,James Juei-Chin Yeh,http://www.wikidata.org/entity/Q102170999
Q102173657,Walter Fleming,http://www.wikidata.org/entity/Q102173663
Q102173657,Arnold J. Tingley,http://www.wikidata.org/entity/Q102173681
Q102173657,Elizabeth Hahnemann Cuthill,http://www.wikidata.org/entity/Q102173657
Q102173657,William Robert McEwen,http://www.wikidata.org/entity/Q102173685
Q102173657,Bernard W. Lindgren,http://www.wikidata.org/entity/Q102175721
Q102173657,William S. H. Crawford,http://www.wikidata.org/entity/Q102175722
Q102173657,Henry Damon Colson,http://www.wikidata.org/entity/Q102175723
Q102173657,Ross Edwin Graves,http://www.wikidata.org/entity/Q102175720
Q102173657,Leonard W. Swanson,http://www.wikidata.org/entity/Q102176453
Q102173657,George Henry Bridgman,http://www.wikidata.org/entity/Q102190488
Q102173657,Chull Park,http://www.wikidata.org/entity/Q102194540
Q102173657,D. A. Woodward,http://www.wikidata.org/entity/Q102194543
Q102173657,Henry Charles Finlayson,http://www.wikidata.org/entity/Q102194545
Q102173657,John Edward Hafstrom,http://www.wikidata.org/entity/Q102194542
Q102173657,John Alfred Beekman,http://www.wikidata.org/entity/Q102194544
Q102173657,Lawrence Harold Smolowitz,http://www.wikidata.org/entity/Q102194547
Q102173657,Milton David Brue,http://www.wikidata.org/entity/Q102194549
Q102173657,Reymond Joseph Collins,http://www.wikidata.org/entity/Q102194546
Q102173657,Robert Milton Blomgren,http://www.wikidata.org/entity/Q102194548
Q102173657,Walter E. Strimling,http://www.wikidata.org/entity/Q102194541
Q102173657,Wallie Abraham Hurwitz,http://www.wikidata.org/entity/Q3704811
Q102392789,Miguel E. M. Herrera,http://www.wikidata.org/entity/Q102118153
Q102392789,Martin Sombra,http://www.wikidata.org/entity/Q102235501
Q102392789,Nicolás Botbol,http://www.wikidata.org/entity/Q102374573
Q102392789,Enrique Augusto Tobis,http://www.wikidata.org/entity/Q102376959
Q102392789,Carlos Antonio D'Andrea,http://www.wikidata.org/entity/Q102392789
Q102392789,Federico Nicolás Martínez,http://www.wikidata.org/entity/Q102392841
Q102392789,Mercedes Soledad Pérez Millán,http://www.wikidata.org/entity/Q102396235
Q102392789,Magalí Giaroli,http://www.wikidata.org/entity/Q103239858
Q6135125,John Horton Conway,http://www.wikidata.org/entity/Q268961
Q6135125,Christopher Burdorf,http://www.wikidata.org/entity/Q102229333
Q6135125,John Fitch,http://www.wikidata.org/entity/Q6233248
Q6135125,Gregory Kumar Sankaran,http://www.wikidata.org/entity/Q131124563
Q6135125,Hugh Montgomery,http://www.wikidata.org/entity/Q740818
Q6135125,Martin Huxley,http://www.wikidata.org/entity/Q6775739
Q6135125,James H. Davenport,http://www.wikidata.org/entity/Q6135125
Q6135125,George Leo Watson,http://www.wikidata.org/entity/Q1507750
Q6135125,Russell John Bradford,http://www.wikidata.org/entity/Q95757120
Q6135125,Thomas W. Cusick,http://www.wikidata.org/entity/Q27534178
Q6135125,Akshar Sajive Nair,http://www.wikidata.org/entity/Q131124562
Q6135125,Peter D. T. A. Elliott,http://www.wikidata.org/entity/Q7173511
Q6135125,David Barton,http://www.wikidata.org/entity/Q102116664
Q6135125,Geoff Smith,http://www.wikidata.org/entity/Q5534325
Q6135125,Antonia J. Jones,http://www.wikidata.org/entity/Q102192099
Q6135125,John Vernon Armitage,http://www.wikidata.org/entity/Q102197878
Q6135125,David A. Burgess,http://www.wikidata.org/entity/Q102198282
Q6135125,Peter Arthur Barry Pleasants,http://www.wikidata.org/entity/Q102225274
Q6135125,David P. Chapman,http://www.wikidata.org/entity/Q102229335
Q6135125,Andreas M. Vamvasakis,http://www.wikidata.org/entity/Q102229513
Q6135125,Jeremy L. Leach,http://www.wikidata.org/entity/Q102229424
Q6135125,Robert W. J. Simmonds,http://www.wikidata.org/entity/Q102229489
Q6135125,Robert Winston Keith Odoni,http://www.wikidata.org/entity/Q102248919
Q6135125,Gregory Kumar Sankaran,http://www.wikidata.org/entity/Q102248979
Q6135125,Michael Maurice Dodson,http://www.wikidata.org/entity/Q102266556
Q6135125,Marc-Laurent Aird,http://www.wikidata.org/entity/Q102300921
Q6135125,Richard George Hall,http://www.wikidata.org/entity/Q102300923
Q6135125,Waffa Shabana,http://www.wikidata.org/entity/Q102300922
Q6135125,Emma Hazel Cliffe,http://www.wikidata.org/entity/Q102316299
Q6135125,Dalia Khader,http://www.wikidata.org/entity/Q102356356
Q6135125,Ismail A. A. Al-Rawi,http://www.wikidata.org/entity/Q102367195
Q6135125,Robert Beardsworth,http://www.wikidata.org/entity/Q102367098
Q6135125,Spiridon K. Kalogeropulos,http://www.wikidata.org/entity/Q102367194
Q6135125,Richard Hicks,http://www.wikidata.org/entity/Q102382818
Q6135125,Georg Boenn,http://www.wikidata.org/entity/Q102382154
Q6135125,Nalina Phisanbut,http://www.wikidata.org/entity/Q102395944
Q6135125,Saif Mohammed Al-Kuwari,http://www.wikidata.org/entity/Q102395947
Q6135125,Martin J Brain,http://www.wikidata.org/entity/Q102398707
Q6135125,Esraa Hadi Obead Alwan,http://www.wikidata.org/entity/Q102424192
Q6135125,David John Wilson,http://www.wikidata.org/entity/Q102489253
Q6135125,John Henry H. Chalk,http://www.wikidata.org/entity/Q94925557
Q6135125,John Fitch,http://www.wikidata.org/entity/Q578827
Q6135125,Alan Baker,http://www.wikidata.org/entity/Q310769
Q6135125,Julian A Padget,http://www.wikidata.org/entity/Q58621441
Q6135125,Tom Crick,http://www.wikidata.org/entity/Q55486562
Q6135125,John Edensor Littlewood,http://www.wikidata.org/entity/Q353426
Q20010897,Alicia Dickenstein,http://www.wikidata.org/entity/Q20010897
Q20010897,Adrián Paenza,http://www.wikidata.org/entity/Q8189869
Q20010897,Carlos Alberto Cabrelli,http://www.wikidata.org/entity/Q102304891
Q20010897,Marc Chardin,http://www.wikidata.org/entity/Q102317070
Q20010897,Jorge Eduardo Solomin,http://www.wikidata.org/entity/Q102390856
Q20010897,Luis Antonio Romero Grados,http://www.wikidata.org/entity/Q102392932
Q20010897,Néstor Daniel Bucari,http://www.wikidata.org/entity/Q102392933
Q20010897,Marta Narváez Clauss,http://www.wikidata.org/entity/Q102508066
Q20010897,Nicolas Roberto Coleff,http://www.wikidata.org/entity/Q102547792
Q20010897,Yairon Cid Ruiz,http://www.wikidata.org/entity/Q103236045
Q102229888,Antoine Girard,http://www.wikidata.org/entity/Q58609026
Q102229888,Nathalie Revol,http://www.wikidata.org/entity/Q102230485
Q102229888,Jean-Guillaume Dumas,http://www.wikidata.org/entity/Q76281521
Q102229888,Noël Gastinel,http://www.wikidata.org/entity/Q102113973
Q102229888,Claude-Pierre Jeannerod,http://www.wikidata.org/entity/Q102230212
Q102229888,Dominique Duval,http://www.wikidata.org/entity/Q102229888
Q102229888,René Aïd,http://www.wikidata.org/entity/Q102229782
Q102229888,Jacques-Arthur Weil,http://www.wikidata.org/entity/Q102229891
Q102229888,Guoting Chen,http://www.wikidata.org/entity/Q102230079
Q102229888,Jean-Louis Roch,http://www.wikidata.org/entity/Q102230071
Q102229888,Evelyne Hubert,http://www.wikidata.org/entity/Q102230190
Q102229888,Gilles Villard,http://www.wikidata.org/entity/Q102230213
