Source,Label,Target
Q102233028,Dustin Paul Potter,http://www.wikidata.org/entity/Q102289882
Q102233028,Elena Stanimirova Dimitrova,http://www.wikidata.org/entity/Q102310729
Q102233028,Martha Paola Vera-Licona,http://www.wikidata.org/entity/Q102311758
Q102233028,Alan Veliz-Cuba,http://www.wikidata.org/entity/Q102406100
Q102233028,Franziska B. Hinkelmann,http://www.wikidata.org/entity/Q102410719
Q102233028,Claus Kadelka,http://www.wikidata.org/entity/Q103291856
Q102400191,Robert Williams,http://www.wikidata.org/entity/Q102988250
Q102400191,William Fulton,http://www.wikidata.org/entity/Q2061291
Q102400191,Claudia Estela Reynoso Alcántara,http://www.wikidata.org/entity/Q102291614
Q102400191,James Vincent Ruffo,http://www.wikidata.org/entity/Q102310342
Q102400191,Weronika Buczynska,http://www.wikidata.org/entity/Q102367989
Q102400191,Abraham Martin del Campo,http://www.wikidata.org/entity/Q102400191
Q102400191,Corey Irving,http://www.wikidata.org/entity/Q102407305
Q102400191,Nickolas Jason Hein,http://www.wikidata.org/entity/Q102420342
Q102400191,Ata Firat Pir,http://www.wikidata.org/entity/Q102985902
Q102400191,Li Ying,http://www.wikidata.org/entity/Q103260768
Q102194163,Dan Laksov,http://www.wikidata.org/entity/Q5932286
Q102194163,Israel Vainsencher,http://www.wikidata.org/entity/Q10304044
Q102194163,Ranee Brylinski,http://www.wikidata.org/entity/Q56949613
Q102194163,Oscar Zariski,http://www.wikidata.org/entity/Q381307
Q102194163,Spencer Bloch,http://www.wikidata.org/entity/Q1602226
Q102194163,Payman L Kassaei,http://www.wikidata.org/entity/Q57306776
Q102194163,Jianhua Wang,http://www.wikidata.org/entity/Q102192499
Q102194163,Daniel Richard Grayson,http://www.wikidata.org/entity/Q102123990
Q102194163,Robert F. Lax,http://www.wikidata.org/entity/Q102141264
Q102194163,David B. Carlton,http://www.wikidata.org/entity/Q102173584
Q102194163,Bruce Michael Bennett,http://www.wikidata.org/entity/Q102192981
Q102194163,"Charles Marshall Barton, III",http://www.wikidata.org/entity/Q102192980
Q102194163,Mathieu Gagné,http://www.wikidata.org/entity/Q102192496
Q102194163,Lawrence S. Breen,http://www.wikidata.org/entity/Q102192989
Q102194163,Abramo Hefez,http://www.wikidata.org/entity/Q102194163
Q102194163,Dan Edidin,http://www.wikidata.org/entity/Q102194165
Q102194163,Eduardo de Sequeira Esteves,http://www.wikidata.org/entity/Q102194167
Q102194163,Hans Kleppe,http://www.wikidata.org/entity/Q102194162
Q102194163,Lars J. Ernstrom,http://www.wikidata.org/entity/Q102194166
Q102194163,Roberto Callejas-Bedregal,http://www.wikidata.org/entity/Q102194164
Q102194163,Torgny Svanes,http://www.wikidata.org/entity/Q102194161
Q102194163,Behrang Noohi,http://www.wikidata.org/entity/Q102206827
Q102194163,Marcelo Escudeiro Hernandes,http://www.wikidata.org/entity/Q102232740
Q102194163,Ana-Maria Castravet,http://www.wikidata.org/entity/Q102243571
Q102194163,Rodrigo Salomão,http://www.wikidata.org/entity/Q102351794
Q102194163,Mauro Fernando Hernández Iglesias,http://www.wikidata.org/entity/Q102417095
Q102194163,Nayene Michele Pitta Paião,http://www.wikidata.org/entity/Q102430135
Q102194163,George Kempf,http://www.wikidata.org/entity/Q5541289
Q102194163,Henning Haahr Andersen,http://www.wikidata.org/entity/Q21004818
Q102194163,Terence Gaffney,http://www.wikidata.org/entity/Q16120971
Q102194163,Emilio Carvalho,http://www.wikidata.org/entity/Q102651165
Q102194163,Antoni Rangachev,http://www.wikidata.org/entity/Q102654516
Q102194163,Susan Jane Colley,http://www.wikidata.org/entity/Q61722013
Q102194163,Ragni Piene,http://www.wikidata.org/entity/Q4567235
Q102194163,Marcelo Osnar Rodrigues de Abreu,http://www.wikidata.org/entity/Q103182471
Q17014550,Zhaozhi Guan,http://www.wikidata.org/entity/Q10893996
Q17014550,Long Ruilin,http://www.wikidata.org/entity/Q109174575
Q17014550,Li Jianshu,http://www.wikidata.org/entity/Q6191452
Q17014550,Ma Zhiming,http://www.wikidata.org/entity/Q9443761
Q17014550,Zhang Ping,http://www.wikidata.org/entity/Q109779255
Q17014550,Wang Yuan,http://www.wikidata.org/entity/Q2601552
Q17014550,Xiangyu Zhou,http://www.wikidata.org/entity/Q16336634
Q17014550,Michael Röckner,http://www.wikidata.org/entity/Q27072
Q17014550,Qi-keng Lu,http://www.wikidata.org/entity/Q9364066
Q17014550,Wang Yuefei,http://www.wikidata.org/entity/Q109778995
Q17014550,Shang Zaijiu,http://www.wikidata.org/entity/Q109779351
Q17014550,Tzyh-Jong Tarn,http://www.wikidata.org/entity/Q102164966
Q17014550,Song Wang,http://www.wikidata.org/entity/Q102245122
Q17014550,Jean-Loup Waldspurger,http://www.wikidata.org/entity/Q449911
Q17014550,Tian Ye,http://www.wikidata.org/entity/Q19864295
Q17014550,Hua Luogeng,http://www.wikidata.org/entity/Q590111
Q17014550,Yang Le,http://www.wikidata.org/entity/Q8462828
Q102117448,Amin Shokrollahi,http://www.wikidata.org/entity/Q4746324
Q102117448,Walter Oberschelp,http://www.wikidata.org/entity/Q1515806
Q102117448,Klaus W. Roggenkamp,http://www.wikidata.org/entity/Q15433898
Q102117448,Benno Artmann,http://www.wikidata.org/entity/Q15449992
Q102117448,Adalbert Kerber,http://www.wikidata.org/entity/Q102117448
Q102117448,Kurt Endl,http://www.wikidata.org/entity/Q102121346
Q102117448,Wolfgang Erich Müller,http://www.wikidata.org/entity/Q102121804
Q102117448,Wilhelm Plesken,http://www.wikidata.org/entity/Q102123380
Q102117448,Waldemar Velte,http://www.wikidata.org/entity/Q102124297
Q102117448,Reinhard Laue,http://www.wikidata.org/entity/Q102171857
Q102117448,Ergün Bayar,http://www.wikidata.org/entity/Q102231257
Q102117448,Hans-Joachim Frohn,http://www.wikidata.org/entity/Q102231255
Q102117448,Ruth Mangold,http://www.wikidata.org/entity/Q102231252
Q102117448,Thomas Honold,http://www.wikidata.org/entity/Q102233762
Q102117448,Günther Krafft,http://www.wikidata.org/entity/Q102234155
Q102117448,Friedrich Carl Stötzer,http://www.wikidata.org/entity/Q102234186
Q102117448,Jens Schwaiger,http://www.wikidata.org/entity/Q102238503
Q102117448,Abdullah Saad Al-Azemi,http://www.wikidata.org/entity/Q102311430
Q102117448,Bader Alshamary,http://www.wikidata.org/entity/Q102311431
Q102117448,Ulrich Baum,http://www.wikidata.org/entity/Q102311548
Q102117448,Rolf Bardeli,http://www.wikidata.org/entity/Q102343753
Q102117448,Heiko Körner,http://www.wikidata.org/entity/Q102346248
Q102117448,Meinard Müller,http://www.wikidata.org/entity/Q102346251
Q102117448,Tido Röder,http://www.wikidata.org/entity/Q102346257
Q102117448,Andreas Ribbrock,http://www.wikidata.org/entity/Q102346256
Q102117448,Axel Mosig,http://www.wikidata.org/entity/Q102346255
Q102117448,Leon Lichtenstein,http://www.wikidata.org/entity/Q87550
Q102117448,Dirk Meyer,http://www.wikidata.org/entity/Q102346253
Q102117448,Frank Kurth,http://www.wikidata.org/entity/Q102346247
Q102117448,Vlora Arifi,http://www.wikidata.org/entity/Q102346254
Q102117448,Christian Fremerey,http://www.wikidata.org/entity/Q102367003
Q102117448,Marjan Bazrafshan,http://www.wikidata.org/entity/Q102394287
Q102117448,David Gregor Damm,http://www.wikidata.org/entity/Q102414506
Q102117448,Sebastian Ewert,http://www.wikidata.org/entity/Q102414502
Q102117448,Verena Thomas,http://www.wikidata.org/entity/Q102414509
Q102117448,Harald Günther Grohganz,http://www.wikidata.org/entity/Q102430849
Q102117448,Sebastian Kreuzer,http://www.wikidata.org/entity/Q102624931
Q102117448,Paul Christoph Hühne,http://www.wikidata.org/entity/Q102663748
Q102117448,Herbert Pahlings,http://www.wikidata.org/entity/Q18697328
Q102117448,Daniel Heinlein,http://www.wikidata.org/entity/Q103033402
Q102117448,Alain Lascoux,http://www.wikidata.org/entity/Q4705670
Q102117448,Otto Föllinger,http://www.wikidata.org/entity/Q126359
Q102117448,Michael Clausen,http://www.wikidata.org/entity/Q38260947
Q102117448,Yavuz Gündüzalp,http://www.wikidata.org/entity/Q102231258
Q102421940,Irena Peeva,http://www.wikidata.org/entity/Q17285695
Q102421940,Craig Huneke,http://www.wikidata.org/entity/Q15229573
Q102421940,Vikram Bhagvandas Mehta,http://www.wikidata.org/entity/Q7929555
Q102421940,James Christopher Robson,http://www.wikidata.org/entity/Q102079779
Q102421940,Daniel Erman,http://www.wikidata.org/entity/Q102079778
Q102421940,Claudiu Raicu,http://www.wikidata.org/entity/Q102111130
Q102421940,Ben Wormleighton,http://www.wikidata.org/entity/Q102112825
Q102421940,Mengyuan Zhang,http://www.wikidata.org/entity/Q102113031
Q102421940,Gennady Lyubeznik,http://www.wikidata.org/entity/Q102166291
Q102421940,Daniel Micah Giaimo,http://www.wikidata.org/entity/Q102168210
Q102421940,Bangere P. Purnaprajna,http://www.wikidata.org/entity/Q102173640
Q102421940,Fernando Serrano-García,http://www.wikidata.org/entity/Q102173630
Q102421940,Francisco Javier Gallego Rodrigo,http://www.wikidata.org/entity/Q102173639
Q102421940,Karl W. Knight,http://www.wikidata.org/entity/Q102173628
Q102421940,Jyotsna Gokhale,http://www.wikidata.org/entity/Q102173632
Q102421940,Keith Pardue,http://www.wikidata.org/entity/Q102173638
Q102421940,Lung-Ying Fong,http://www.wikidata.org/entity/Q102173634
Q102421940,Maria-Grazie Ascenzi,http://www.wikidata.org/entity/Q102173631
Q102421940,Michael Luke Johnson,http://www.wikidata.org/entity/Q102173637
Q102421940,Ngau Lam,http://www.wikidata.org/entity/Q102173635
Q102421940,Phillip Schwartau,http://www.wikidata.org/entity/Q102173627
Q102421940,Pradeep K. Shukla,http://www.wikidata.org/entity/Q102173629
Q102421940,Ronald Sheets,http://www.wikidata.org/entity/Q102173626
Q102421940,Sung-Won Park,http://www.wikidata.org/entity/Q102173633
Q102421940,Leonard Eisenbud,http://www.wikidata.org/entity/Q15825641
Q102421940,Andrea Bruno,http://www.wikidata.org/entity/Q102193572
Q102421940,Harrison Kwei Tsai,http://www.wikidata.org/entity/Q102200551
Q102421940,Gregory George Smith,http://www.wikidata.org/entity/Q102231042
Q102421940,George Andrew Kirkup,http://www.wikidata.org/entity/Q102292321
Q102421940,Jameel Al-Aidroos,http://www.wikidata.org/entity/Q102341589
Q102421940,Morgan V. Brown,http://www.wikidata.org/entity/Q102409963
Q102421940,Adam Boocher,http://www.wikidata.org/entity/Q102421940
Q102421940,Thanh Vu,http://www.wikidata.org/entity/Q102424275
Q102421940,Saunders Mac Lane,http://www.wikidata.org/entity/Q441223
Q102421940,Justin Chen,http://www.wikidata.org/entity/Q102950622
Q102421940,Mircea Mustaţă,http://www.wikidata.org/entity/Q55519031
Q175907,Phil Joanou,http://www.wikidata.org/entity/Q716373
Q175907,Judith Godrèche,http://www.wikidata.org/entity/Q267542
Q175907,Davis Guggenheim,http://www.wikidata.org/entity/Q721219
Q175907,Ashok Amritraj,http://www.wikidata.org/entity/Q2350423
Q175907,Brian Eno,http://www.wikidata.org/entity/Q569003
Q175907,The Edge,http://www.wikidata.org/entity/Q714845
Q175907,Lauren Holly,http://www.wikidata.org/entity/Q229560
Q175907,Kelly Macdonald,http://www.wikidata.org/entity/Q230383
Q175907,Jon Tenney,http://www.wikidata.org/entity/Q1321988
Q175907,Adam Clayton,http://www.wikidata.org/entity/Q175907
Q175907,Jim Gaffigan,http://www.wikidata.org/entity/Q2093638
Q175907,Drena De Niro,http://www.wikidata.org/entity/Q541821
